由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
127	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID', 'int']	(int)	17 int ID
128	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr', 'ID']	(ID)	
129	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';', 'Advr']	(;)	
130	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec', ';']	(;)	0
131	['#', 'Stem', 'Epro', '}', 'Lstr', 'Kdec']	(ID)	
132	['#', 'Stem', 'Epro', '}', 'Lstr']	(ID)	0
133	['#', 'Stem', 'Epro', '}', 'Ltem', 'Lang']	(ID)	18 Lang Ltem
134	['#', 'Stem', 'Epro', '}', 'Ltem', 'Asla']	(ID)	23 Asla
135	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push', 'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
136	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push']	(ID)	0
137	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID']	(ID)	0
138	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push']	(=)	
139	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=']	(=)	0
140	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr']	(NUM)	
141	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Aexp']	(NUM)	30 Aexp Atem
142	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Item']	(NUM)	37 Item Itmp
143	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'Fact']	(NUM)	40 Fact Ftem
144	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM', 'Push']	(NUM)	43 Push NUM
145	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM']	(NUM)	0
146	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem']	(;)	
147	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp']	(;)	0
148	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem']	(;)	0
149	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex']	(;)	0
150	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk']	(;)	0
151	['#', 'Stem', 'Epro', '}', 'Ltem', ';']	(;)	0
152	['#', 'Stem', 'Epro', '}', 'Ltem']	(ID)	
153	['#', 'Stem', 'Epro', '}', 'Lstr']	(ID)	19 Lstr
154	['#', 'Stem', 'Epro', '}', 'Ltem', 'Lang']	(ID)	18 Lang Ltem
155	['#', 'Stem', 'Epro', '}', 'Ltem', 'Asla']	(ID)	23 Asla
156	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push', 'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
157	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push']	(ID)	0
158	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID']	(ID)	0
159	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push']	(=)	
160	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=']	(=)	0
161	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr']	(NUM)	
162	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Aexp']	(NUM)	30 Aexp Atem
163	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Item']	(NUM)	37 Item Itmp
164	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'Fact']	(NUM)	40 Fact Ftem
165	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM', 'Push']	(NUM)	43 Push NUM
166	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM']	(NUM)	0
167	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem']	(;)	
168	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp']	(;)	0
169	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem']	(;)	0
170	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex']	(;)	0
171	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk']	(;)	0
172	['#', 'Stem', 'Epro', '}', 'Ltem', ';']	(;)	0
173	['#', 'Stem', 'Epro', '}', 'Ltem']	(ID)	
174	['#', 'Stem', 'Epro', '}', 'Lstr']	(ID)	19 Lstr
175	['#', 'Stem', 'Epro', '}', 'Ltem', 'Lang']	(ID)	18 Lang Ltem
176	['#', 'Stem', 'Epro', '}', 'Ltem', 'Asla']	(ID)	23 Asla
177	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push', 'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
178	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push']	(ID)	0
179	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID']	(ID)	0
180	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push']	(=)	
181	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=']	(=)	0
182	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr']	(NUM)	
183	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Aexp']	(NUM)	30 Aexp Atem
184	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Item']	(NUM)	37 Item Itmp
185	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'Fact']	(NUM)	40 Fact Ftem
186	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM', 'Push']	(NUM)	43 Push NUM
187	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem', 'NUM']	(NUM)	0
188	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp', 'Ftem']	(;)	
189	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Itmp']	(;)	0
190	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem']	(;)	0
191	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex']	(;)	0
192	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk']	(;)	0
193	['#', 'Stem', 'Epro', '}', 'Ltem', ';']	(;)	0
194	['#', 'Stem', 'Epro', '}', 'Ltem']	(ID)	
195	['#', 'Stem', 'Epro', '}', 'Lstr']	(ID)	19 Lstr
196	['#', 'Stem', 'Epro', '}', 'Ltem', 'Lang']	(ID)	18 Lang Ltem
197	['#', 'Stem', 'Epro', '}', 'Ltem', 'Asla']	(ID)	23 Asla
198	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push', 'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
199	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID', 'Push']	(ID)	0
200	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push', 'ID']	(ID)	0
201	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=', 'Push']	(=)	
202	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr', '=']	(=)	0
203	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Expr']	(ID)	
204	['#', 'Stem', 'Epro', '}', 'Ltem', ';', 'Pcsk', 'Upex', 'Atem', 'Aexp']	(ID)	30 Aexp Atem
